############################################
 Jolly Coop Log 0 [DEBUG LEVEL: Distribution]

Setting value of 0, type System.Int32 (System.Int32)
Setting value of true, type System.Boolean (System.Boolean)
Setting value of FFFFFF, type  (UnityEngine.Color)
Setting value of FFFFFF, type  (UnityEngine.Color)
Setting value of FFE400, type  (UnityEngine.Color)
Setting value of true, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of 1, type System.Int32 (System.Int32)
Setting value of true, type System.Boolean (System.Boolean)
Setting value of 690006, type  (UnityEngine.Color)
Setting value of D4D8DF, type  (UnityEngine.Color)
Setting value of 432822, type  (UnityEngine.Color)
Setting value of true, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of true, type System.Boolean (System.Boolean)
Setting value of Artificer, type SlugcatStats+Name (SlugcatStats+Name)
Setting value of 2, type System.Int32 (System.Int32)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of FF0000, type  (UnityEngine.Color)
Setting value of 0000FF, type  (UnityEngine.Color)
Setting value of 00FF00, type  (UnityEngine.Color)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of Yellow, type SlugcatStats+Name (SlugcatStats+Name)
Setting value of 3, type System.Int32 (System.Int32)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of FF0000, type  (UnityEngine.Color)
Setting value of 0000FF, type  (UnityEngine.Color)
Setting value of 00FF00, type  (UnityEngine.Color)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of false, type System.Boolean (System.Boolean)
Setting value of Yellow, type SlugcatStats+Name (SlugcatStats+Name)
